date,daily_arbitrage_counts
2021-09-28,0
2021-09-29,0
2021-09-30,0
2021-10-01,0
2021-10-02,0
2021-10-03,0
2021-10-04,0
2021-10-05,0
2021-10-06,0
2021-10-07,0
2021-10-08,0
2021-10-09,0
2021-10-10,0
2021-10-11,0
2021-10-12,0
2021-10-13,0
2021-10-14,0
2021-10-15,0
2021-10-16,0
2021-10-17,0
2021-10-18,0
2021-10-19,0
2021-10-20,0
2021-10-21,0
2021-10-22,0
2021-10-23,0
2021-10-24,0
2021-10-25,0
2021-10-26,0
2021-10-27,0
2021-10-28,0
2021-10-29,0
2021-10-30,0
2021-10-31,0
2021-11-01,0
2021-11-02,0
2021-11-03,0
2021-11-04,0
2021-11-05,0
2021-11-06,0
2021-11-07,0
2021-11-08,0
2021-11-09,0
2021-11-10,0
2021-11-11,0
2021-11-12,0
2021-11-13,0
2021-11-14,0
2021-11-15,0
2021-11-16,0
2021-11-17,0
2021-11-18,0
2021-11-19,0
2021-11-20,0
2021-11-21,0
2021-11-22,0
2021-11-23,0
2021-11-24,0
2021-11-25,0
2021-11-26,0
2021-11-27,0
2021-11-28,0
2021-11-29,0
2021-11-30,0
2021-12-01,0
2021-12-02,0
2021-12-03,0
2021-12-04,0
2021-12-05,0
2021-12-06,0
2021-12-07,0
2021-12-08,0
2021-12-09,0
2021-12-10,0
2021-12-11,0
2021-12-12,0
2021-12-13,0
2021-12-14,0
2021-12-15,0
2021-12-16,0
2021-12-17,0
2021-12-18,0
2021-12-19,1
2021-12-20,0
2021-12-21,0
2021-12-22,0
2021-12-23,0
2021-12-24,0
2021-12-25,0
2021-12-26,0
2021-12-27,0
2021-12-28,0
2021-12-29,0
2021-12-30,0
2021-12-31,0
2022-01-01,0
2022-01-02,0
2022-01-03,0
2022-01-04,0
2022-01-05,0
2022-01-06,0
2022-01-07,0
2022-01-08,0
2022-01-09,0
2022-01-10,0
2022-01-11,0
2022-01-12,0
2022-01-13,0
2022-01-14,0
2022-01-15,0
2022-01-16,0
2022-01-17,0
2022-01-18,0
2022-01-19,0
2022-01-20,0
2022-01-21,0
2022-01-22,0
2022-01-23,0
2022-01-24,0
2022-01-25,0
2022-01-26,0
2022-01-27,0
2022-01-28,0
2022-01-29,0
2022-01-30,0
2022-01-31,0
2022-02-01,0
2022-02-02,0
2022-02-03,0
2022-02-04,0
2022-02-05,0
2022-02-06,0
2022-02-07,0
2022-02-08,0
2022-02-09,0
2022-02-10,0
2022-02-11,0
2022-02-12,0
2022-02-13,0
2022-02-14,0
2022-02-15,0
2022-02-16,0
2022-02-17,5
2022-02-18,4
2022-02-19,0
2022-02-20,0
2022-02-21,189
2022-02-22,85
2022-02-23,141
2022-02-24,438
2022-02-25,91
2022-02-26,90
2022-02-27,183
2022-02-28,105
2022-03-01,134
2022-03-02,104
2022-03-03,115
2022-03-04,236
2022-03-05,140
2022-03-06,106
2022-03-07,266
2022-03-08,221
2022-03-09,263
2022-03-10,75
2022-03-11,208
2022-03-12,79
2022-03-13,323
2022-03-14,251
2022-03-15,451
2022-03-16,186
2022-03-17,168
2022-03-18,297
2022-03-19,329
2022-03-20,332
2022-03-21,551
2022-03-22,363
2022-03-23,432
2022-03-24,495
2022-03-25,569
2022-03-26,526
2022-03-27,187
2022-03-28,406
2022-03-29,601
2022-03-30,826
2022-03-31,1052
2022-04-01,903
2022-04-02,633
2022-04-03,377
2022-04-04,559
2022-04-05,541
2022-04-06,928
2022-04-07,448
2022-04-08,484
2022-04-09,345
2022-04-10,256
2022-04-11,522
2022-04-12,498
2022-04-13,305
2022-04-14,523
2022-04-15,205
2022-04-16,132
2022-04-17,107
2022-04-18,342
2022-04-19,234
2022-04-20,282
2022-04-21,394
2022-04-22,200
2022-04-23,171
2022-04-24,150
2022-04-25,536
2022-04-26,564
2022-04-27,312
2022-04-28,538
2022-04-29,665
2022-04-30,1311
2022-05-01,644
2022-05-02,704
2022-05-03,5112
2022-05-04,568
2022-05-05,644
2022-05-06,1108
2022-05-07,974
2022-05-08,620
2022-05-09,1451
2022-05-10,1436
2022-05-11,5544
2022-05-12,4198
2022-05-13,1115
2022-05-14,673
2022-05-15,732
2022-05-16,609
2022-05-17,604
2022-05-18,726
2022-05-19,700
2022-05-20,587
2022-05-21,520
2022-05-22,258
2022-05-23,539
2022-05-24,521
2022-05-25,316
2022-05-26,845
2022-05-27,1182
2022-05-28,265
2022-05-29,407
2022-05-30,583
2022-05-31,585
2022-06-01,1056
2022-06-02,612
2022-06-03,442
2022-06-04,248
2022-06-05,241
2022-06-06,519
2022-06-07,954
2022-06-08,1806
2022-06-09,273
2022-06-10,574
2022-06-11,586
2022-06-12,968
2022-06-13,2153
2022-06-14,1229
2022-06-15,1537
2022-06-16,1240
2022-06-17,610
2022-06-18,1353
2022-06-19,1135
2022-06-20,671
2022-06-21,766
2022-06-22,816
2022-06-23,1007
2022-06-24,976
2022-06-25,1028
2022-06-26,671
2022-06-27,551
2022-06-28,890
2022-06-29,755
2022-06-30,1618
2022-07-01,990
2022-07-02,514
2022-07-03,262
2022-07-04,431
2022-07-05,393
2022-07-06,190
2022-07-07,378
2022-07-08,308
2022-07-09,234
2022-07-10,246
2022-07-11,228
2022-07-12,239
2022-07-13,415
2022-07-14,498
2022-07-15,248
2022-07-16,391
2022-07-17,210
2022-07-18,619
2022-07-19,421
2022-07-20,584
2022-07-21,407
2022-07-22,374
2022-07-23,208
2022-07-24,265
2022-07-25,442
2022-07-26,432
2022-07-27,301
2022-07-28,566
2022-07-29,398
2022-07-30,309
2022-07-31,374
2022-08-01,276
2022-08-02,524
2022-08-03,285
2022-08-04,237
2022-08-05,458
2022-08-06,112
2022-08-07,268
2022-08-08,314
2022-08-09,336
2022-08-10,712
2022-08-11,473
2022-08-12,433
2022-08-13,443
2022-08-14,382
2022-08-15,560
2022-08-16,177
2022-08-17,291
2022-08-18,258
2022-08-19,959
2022-08-20,347
2022-08-21,190
2022-08-22,1664
2022-08-23,197
2022-08-24,233
2022-08-25,214
2022-08-26,444
2022-08-27,225
2022-08-28,143
2022-08-29,239
2022-08-30,277
2022-08-31,223
2022-09-01,212
2022-09-02,393
2022-09-03,126
2022-09-04,268
2022-09-05,200
2022-09-06,445
2022-09-07,304
2022-09-08,172
2022-09-09,1188
2022-09-10,173
2022-09-11,229
2022-09-12,524
2022-09-13,483
2022-09-14,418
2022-09-15,468
2022-09-16,266
2022-09-17,180
2022-09-18,613
2022-09-19,1093
2022-09-20,604
2022-09-21,1238
2022-09-22,928
2022-09-23,740
2022-09-24,263
2022-09-25,367
2022-09-26,499
2022-09-27,548
2022-09-28,614
2022-09-29,385
2022-09-30,391
2022-10-01,329
2022-10-02,276
2022-10-03,505
2022-10-04,348
2022-10-05,197
2022-10-06,230
2022-10-07,184
2022-10-08,134
2022-10-09,153
2022-10-10,244
2022-10-11,423
2022-10-12,518
2022-10-13,1361
2022-10-14,235
2022-10-15,133
2022-10-16,205
2022-10-17,685
2022-10-18,541
2022-10-19,254
2022-10-20,388
2022-10-21,376
2022-10-22,140
2022-10-23,178
2022-10-24,190
2022-10-25,520
2022-10-26,173
2022-10-27,277
2022-10-28,210
2022-10-29,274
2022-10-30,601
2022-10-31,708
2022-11-01,671
2022-11-02,756
2022-11-03,714
2022-11-04,1043
2022-11-05,1396
2022-11-06,1135
2022-11-07,1380
2022-11-08,4069
2022-11-09,3965
2022-11-10,3055
2022-11-11,1802
2022-11-12,983
2022-11-13,721
2022-11-14,1430
2022-11-15,811
2022-11-16,935
2022-11-17,490
2022-11-18,798
2022-11-19,1089
2022-11-20,1106
2022-11-21,860
2022-11-22,806
2022-11-23,419
2022-11-24,263
2022-11-25,296
2022-11-26,159
2022-11-27,211
2022-11-28,655
2022-11-29,464
2022-11-30,543
2022-12-01,236
2022-12-02,438
2022-12-03,223
2022-12-04,152
2022-12-05,348
2022-12-06,234
2022-12-07,600
2022-12-08,390
2022-12-09,148
2022-12-10,116
2022-12-11,123
2022-12-12,393
2022-12-13,296
2022-12-14,168
2022-12-15,569
2022-12-16,1857
2022-12-17,944
2022-12-18,325
2022-12-19,846
2022-12-20,523
2022-12-21,695
2022-12-22,500
2022-12-23,286
2022-12-24,231
2022-12-25,260
2022-12-26,198
2022-12-27,223
2022-12-28,424
2022-12-29,273
2022-12-30,302
2022-12-31,349
2023-01-01,463
2023-01-02,404
2023-01-03,320
2023-01-04,418
2023-01-05,443
2023-01-06,812
2023-01-07,796
2023-01-08,1231
2023-01-09,1761
2023-01-10,978
2023-01-11,1184
2023-01-12,1712
2023-01-13,1484
2023-01-14,2834
2023-01-15,1625
2023-01-16,1581
2023-01-17,1340
2023-01-18,4366
2023-01-19,2276
2023-01-20,2684
2023-01-21,1378
2023-01-22,2598
2023-01-23,1234
2023-01-24,2292
2023-01-25,2588
2023-01-26,1495
2023-01-27,1853
2023-01-28,1494
2023-01-29,1204
2023-01-30,1921
2023-01-31,1498
2023-02-01,2705
2023-02-02,2983
2023-02-03,2898
2023-02-04,3308
2023-02-05,3130
2023-02-06,3108
2023-02-07,3821
2023-02-08,4183
2023-02-09,6248
2023-02-10,2462
2023-02-11,2149
2023-02-12,2222
2023-02-13,2839
2023-02-14,4248
2023-02-15,3918
2023-02-16,4094
2023-02-17,2844
2023-02-18,1534
2023-02-19,6593
2023-02-20,2293
2023-02-21,3581
2023-02-22,7001
2023-02-23,2634
2023-02-24,2280
2023-02-25,1899
2023-02-26,2007
2023-02-27,2426
2023-02-28,2698
2023-03-01,2249
2023-03-02,2372
2023-03-03,3567
2023-03-04,1915
2023-03-05,8117
2023-03-06,3109
2023-03-07,8104
2023-03-08,4449
2023-03-09,5412
2023-03-10,4624
2023-03-11,18517
2023-03-12,4912
2023-03-13,6462
2023-03-14,6638
2023-03-15,5778
2023-03-16,3545
2023-03-17,5129
2023-03-18,3047
2023-03-19,3429
2023-03-20,3943
2023-03-21,3639
2023-03-22,6883
2023-03-23,2820
2023-03-24,2428
2023-03-25,1687
2023-03-26,1724
2023-03-27,2534
2023-03-28,2079
2023-03-29,6796
2023-03-30,4049
2023-03-31,3349
2023-04-01,4812
2023-04-02,3137
2023-04-03,2955
2023-04-04,2464
2023-04-05,2603
2023-04-06,2452
2023-04-07,2199
2023-04-08,1890
2023-04-09,2060
2023-04-10,2364
2023-04-11,2529
2023-04-12,2432
2023-04-13,3394
2023-04-14,3361
2023-04-15,2154
2023-04-16,2045
2023-04-17,4632
2023-04-18,2802
2023-04-19,3886
2023-04-20,3027
2023-04-21,3896
2023-04-22,1492
2023-04-23,2298
2023-04-24,2486
2023-04-25,2275
2023-04-26,2303
2023-04-27,1917
2023-04-28,1378
2023-04-29,1515
2023-04-30,2102
2023-05-01,3471
2023-05-02,4215
2023-05-03,6695
2023-05-04,6361
2023-05-05,19730
2023-05-06,11165
2023-05-07,8072
2023-05-08,12561
2023-05-09,6495
2023-05-10,6711
2023-05-11,9037
2023-05-12,10708
2023-05-13,9236
2023-05-14,4613
2023-05-15,3423
2023-05-16,3618
2023-05-17,4669
2023-05-18,2658
2023-05-19,3945
2023-05-20,6567
2023-05-21,6238
2023-05-22,6693
2023-05-23,16761
2023-05-24,9724
2023-05-25,10362
2023-05-26,6225
2023-05-27,6056
2023-05-28,6248
2023-05-29,5300
2023-05-30,7950
2023-05-31,8547
2023-06-01,13489
2023-06-02,8648
2023-06-03,8575
2023-06-04,15981
2023-06-05,22539
2023-06-06,14297
2023-06-07,26400
2023-06-08,18610
2023-06-09,8176
2023-06-10,31595
2023-06-11,8013
2023-06-12,10664
2023-06-13,8146
2023-06-14,13332
2023-06-15,9088
2023-06-16,7810
2023-06-17,7507
2023-06-18,8565
2023-06-19,8447
2023-06-20,10635
2023-06-21,17367
2023-06-22,10076
2023-06-23,10593
2023-06-24,6287
2023-06-25,4963
2023-06-26,6558
2023-06-27,8714
2023-06-28,10451
2023-06-29,6842
2023-06-30,9284
2023-07-01,5614
2023-07-02,5213
2023-07-03,7592